Seed,Region,Team,Conf,R64,R32,S16,E8,F4,F2,Champ
2,South,Houston,B12,✓,96.5,76.2,50,33.2,20.6,13.4
1,Midwest,Michigan,B10,✓,98.3,73.6,48.5,29.8,17.9,9.5
1,East,Duke,ACC,✓,95.5,64.6,39.5,24,13.5,8.1
1,South,Florida,SEC,✓,98.1,71.7,48.7,24.5,13.3,7.4
2,West,Purdue,B10,✓,96.8,65.8,38.7,23.7,13.5,6.9
1,West,Arizona,B12,✓,95,70.4,41.6,20.9,10.7,5
3,South,Illinois,B10,✓,97.5,61.9,28.4,15.9,8.1,4.3
6,West,BYU,B12,✓,68.5,44.4,24.2,14.5,8.1,4.1
5,East,St. John's,BE,✓,87.2,50.9,24.8,13.3,6.5,3.3
6,Midwest,Tennessee,SEC,✓,76,50.9,27.3,14,7.1,3.2
2,East,Connecticut,BE,✓,92.4,50.4,27.7,13.2,6.2,3.1
4,West,Arkansas,SEC,✓,85.7,55.1,29.7,14.2,7,3
7,East,UCLA,B10,✓,82.6,44.6,24.8,12.1,5.8,3
2,Midwest,Iowa St.,B12,✓,95.9,52.3,29.2,14.1,6.7,2.9
7,Midwest,Kentucky,SEC,✓,83.2,44,24.9,12.4,6.1,2.7
6,East,Louisville,ACC,✓,77.5,44.9,22.9,11,5.1,2.6
4,Midwest,Alabama,SEC,✓,93.5,56.7,24.9,12.2,5.8,2.3
5,South,Vanderbilt,SEC,✓,83.2,57.1,26.1,10.4,4.5,2
4,East,Kansas,B12,✓,92.7,45.9,19.7,9.3,4,1.9
3,East,Michigan St.,B10,✓,94.9,48.1,22,9.2,3.7,1.7
3,West,Gonzaga,WCC,✓,87.3,39.4,17.3,8.5,3.7,1.5
8,East,Ohio St.,B10,✓,72.1,28.8,14,6.7,2.9,1.3
5,Midwest,Texas Tech,B12,✓,76.7,36.8,14.4,6.4,2.7,1
10,West,Missouri,SEC,✓,66.8,25.8,11.8,5.7,2.6,1
5,West,Wisconsin,B10,✓,79.7,37.2,16.9,6.4,2.4,0.9
6,South,North Carolina,ACC,✓,65.9,28.5,10.9,5.2,2.2,0.9
3,Midwest,Virginia,ACC,✓,91.3,38.4,14.9,5.6,2,0.6
8,Midwest,Georgia,SEC,✓,71.1,21.8,9.9,3.9,1.5,0.5
4,South,Nebraska,B10,✓,80.8,34.3,11.2,3.1,0.9,0.3
9,South,Iowa,B10,✓,58.4,18.2,8.7,2.8,0.9,0.3
10,South,Texas A&M,SEC,✓,58,14.9,5.7,2.1,0.7,0.3
8,West,Villanova,BE,✓,56.6,17.3,6.5,1.9,0.6,0.1
11,West,Texas,SEC,51,16.2,7.8,2.8,1.2,0.5,0.1
11,West,N.C. State,ACC,49,15.3,6.9,2.5,1,0.4,0.1
8,South,Clemson,ACC,✓,41.6,10,4.1,1,0.3,0.1
11,Midwest,SMU,ACC,72,20.2,9.2,2.9,0.9,0.3,0.1
7,South,Saint Mary's,WCC,✓,42,8.5,2.6,0.8,0.2,0.1
11,South,VCU,A10,✓,34.1,9.5,2.4,0.8,0.2,0.1
9,West,Utah St.,MWC,✓,43.4,11.7,3.8,0.9,0.2,0
7,West,Miami FL,ACC,✓,33.2,8.2,2.5,0.8,0.2,0
9,East,TCU,B12,✓,27.9,6.1,1.7,0.5,0.1,0
11,East,South Florida,Amer,✓,22.5,6.7,1.6,0.4,0.1,0
9,Midwest,Saint Louis,A10,✓,28.9,4.6,1.2,0.2,0.1,0
12,Midwest,Akron,MAC,✓,23.3,5.7,1.1,0.2,0,0
10,East,UCF,B12,✓,17.4,4.2,0.9,0.2,0,0
12,West,High Point,BSth,✓,20.3,4.2,0.9,0.1,0,0
12,South,McNeese St.,Slnd,✓,16.8,5.4,0.8,0.1,0,0
10,Midwest,Santa Clara,WCC,✓,16.8,3.5,0.7,0.1,0,0
13,West,Hawaii,BW,✓,14.3,3.6,0.6,0.1,0,0
13,South,Troy,SB,✓,19.2,3.2,0.3,0,0,0
12,East,Northern Iowa,MVC,✓,12.8,2.5,0.3,0,0,0
14,West,Kennesaw St.,CUSA,✓,12.7,1.5,0.2,0,0,0
11,Midwest,Miami OH,MAC,28,3.8,1,0.2,0,0,0
15,East,Furman,SC,✓,7.6,0.8,0.1,0,0,0
16,West,LIU,NEC,✓,5,0.7,0.1,0,0,0
13,East,Cal Baptist,WAC,✓,7.3,0.7,0,0,0,0
13,Midwest,Hofstra,CAA,✓,6.5,0.7,0,0,0,0
14,Midwest,Wright St.,Horz,✓,8.7,0.6,0,0,0,0
16,East,Siena,MAAC,✓,4.5,0.4,0,0,0,0
15,South,Idaho,BSky,✓,3.5,0.4,0,0,0,0
14,East,North Dakota St.,Sum,✓,5.1,0.3,0,0,0,0
15,Midwest,Tennessee St.,OVC,✓,4.1,0.2,0,0,0,0
15,West,Queens,ASun,✓,3.2,0.2,0,0,0,0
14,South,Penn,Ivy,✓,2.5,0.1,0,0,0,0
16,South,Lehigh,Pat,62.5,1.4,0.1,0,0,0,0
16,Midwest,UMBC,AE,60.6,1.2,0.1,0,0,0,0
16,Midwest,Howard,MEAC,39.4,0.5,0,0,0,0,0
16,South,Prairie View A&M,SWAC,37.5,0.5,0,0,0,0,0
