Player,Team,Pos,Injury,Status,Value,Injury Weight
TJ Power,Pennsylvania,F,Illness,Game Time Decision,Impact Role Player,0.035
Nick Pringle,Arkansas,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Jordan Ross,Georgia,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Jalen Warley,Gonzaga,G,Thigh,Game Time Decision,Impact Role Player,0.035
Tyler Bilodeau,UCLA,F,Knee,Game Time Decision,Key Starter/Star,0.075
Ryan Bolton Jr,Prairie View,F,Undisclosed,Out,Rotational Depth,0.02
Keitenn Bristow,Alabama,F,Ankle,Game Time Decision,Rotational Depth,0.01
Marcel Bryant,Prairie View,F,Undisclosed,Out,Rotational Depth,0.02
Silas Demary,Connecticut,G,Ankle,Game Time Decision,Key Starter/Star,0.075
Davion Hannah,Alabama,G,Undisclosed,Game Time Decision,Key Starter/Star,0.075
Aden Holloway,Alabama,G,Not Injury Related,Out,Key Starter/Star,0.15
Xzavion Mitchell,Iowa State,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Kelvin Odih,St. John's,G,Leg,Game Time Decision,Impact Role Player,0.035
Jevon Porter,Missouri,F,Lower Leg,Game Time Decision,Key Starter/Star,0.075
Jayden Quaintance,Kentucky,F,Knee,Game Time Decision,Key Starter/Star,0.075
Trent Steinour,Clemson,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Jaylin Stewart,Connecticut,F,Knee,Game Time Decision,Impact Role Player,0.035
LeJuan Watts,Texas Tech,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Cade Bennett,St. Mary's (CAL),G,Undisclosed,Out,Rotational Depth,0.02
Ty Bevins,George Washington,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Mohamed Binzagr,George Washington,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Antonio Chandler,Siena,F,Not Injury Related,Out,Rotational Depth,0.02
Isaiah Coleman,Oklahoma State,G,Suspension,Out,Impact Role Player,0.07
Ladji Dembele,UNLV,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Evan Dickey,Dayton,G,Undisclosed,Out,Rotational Depth,0.02
Terrance Ford,Tulsa,G,Arm,Game Time Decision,Impact Role Player,0.035
Bradyn Foster,Pennsylvania,F,Undisclosed,Out,Rotational Depth,0.02
Kevin Gad,St. Mary's (CAL),F,Shoulder,Out,Rotational Depth,0.02
Jazz Gardner,St. Mary's (CAL),F,Undisclosed,Out,Rotational Depth,0.02
Javier Gilgeous-Glasgow,Troy,G,Undisclosed,Out,Rotational Depth,0.02
Winters Grady,Michigan,G,Lower Leg,Out,Impact Role Player,0.07
David Green,Tulsa,F,Undisclosed,Out,Impact Role Player,0.07
Chris Howell,New Mexico,G,Wrist,Out,Rotational Depth,0.02
Joy Ighovodja,Wichita State,G,Foot,Out,Rotational Depth,0.02
Marcus Jackson,Siena,G,Undisclosed,Out,Impact Role Player,0.07
Jack Janicki,Wisconsin,G,Wrist,Out,Rotational Depth,0.02
Talon Jenkins,Idaho,G,Undisclosed,Out,Rotational Depth,0.02
Payton Kamin,Pennsylvania,F,Undisclosed,Out,Rotational Depth,0.02
Karter Knox,Arkansas,F,Knee,Out,Key Starter/Star,0.15
Will Lange,St. Joseph's,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Tyler Linhardt,Idaho,F,Undisclosed,Out,Rotational Depth,0.02
Trent MacLean,St. Mary's (CAL),F,Undisclosed,Out,Rotational Depth,0.02
Stephon Marbury II,California,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Ivan Matlekovic,North Carolina,F,Hand,Out,Rotational Depth,0.02
Kaden Metheny,Liberty,G,Undisclosed,Out,Impact Role Player,0.07
Vyctorius Miller,Oklahoma State,G,Suspension,Out,Impact Role Player,0.07
Patrick Ngongba,Duke,C,Foot,Out,Key Starter/Star,0.15
Josh Ojianwuna,Ohio State,F,Knee,Out,Impact Role Player,0.07
Kevin Patton,New Mexico,G,Personal,Out,Impact Role Player,0.07
Ethan Roberts,Pennsylvania,F,Concussion,Out,Impact Role Player,0.07
Ty Rodgers,Illinois,F,Knee,Out,Impact Role Player,0.07
Anthony Roy,Oklahoma State,G,Suspension,Out,Key Starter/Star,0.15
Steven Solano,St. Joseph's,C,Undisclosed,Game Time Decision,Rotational Depth,0.01
Xavion Staton,BYU,C,Undisclosed,Out,Impact Role Player,0.07
Lassina Traore,Texas,F,Knee,Out,Key Starter/Star,0.15
Owen Verna,St. Joseph's,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Andrija Vukovic,Oklahoma State,F,Undisclosed,Out,Rotational Depth,0.02
Gavin Walsh,UNC-Wilmington,F,Knee,Out,Rotational Depth,0.02
Dylan Williams,Pennsylvania,G,Undisclosed,Out,Impact Role Player,0.07
Titus Yearout,Idaho,G,Undisclosed,Out,Rotational Depth,0.02
Luke Hunger,George Washington,F,Foot,Out,Impact Role Player,0.07
Braden Huff,Gonzaga,F,Kneecap,Out,Key Starter/Star,0.15
Mikel Brown,Louisville,G,Back,Out,Key Starter/Star,0.15
Jaylen Crocker-Johnson,Minnesota,F,Foot,Game Time Decision,Impact Role Player,0.035
Jeff Nwankwo,Oklahoma,G,Undisclosed,Game Time Decision,Impact Role Player,0.035
Sebastian Rancik,Colorado,F,Concussion,Game Time Decision,Rotational Depth,0.01
Nehemiah Turner,Minnesota,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Kristers Skrinda,Stanford,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Tallis Toure,Stanford,C,Lower Body,Game Time Decision,Rotational Depth,0.01
Caleb Foster,Duke,G,Foot,Out,Key Starter/Star,0.15
Oumar Koureissi,Texas Southern,F,Not Injury Related,Out,Rotational Depth,0.02
Veniamin Abosi,San Francisco,F,Knee,Game Time Decision,Rotational Depth,0.01
Eric Acker,La Salle,G,Transfer Portal,Out,Impact Role Player,0.07
Marcus Adams,Arizona State,F,Lower Leg,Out,Rotational Depth,0.02
Tommy Ahneman,Notre Dame,C,Knee,Game Time Decision,Rotational Depth,0.01
Kyrone Alexander,Boston University,G,Knee,Out For Season,Impact Role Player,0
Corbin Allen,Kansas,G,Redshirt,Out For Season,Rotational Depth,0
Marcus Allen,Miami,F,Illness,Out For Season,Impact Role Player,0
Vasean Allette,Texas-San Antonio,G,Personal,Out For Season,Key Starter/Star,0
Ryan Altman,Pennsylvania,G,Undisclosed,Out,Rotational Depth,0.02
Charvez Ambrose,Middle Tennessee St.,G,Undisclosed,Out,Rotational Depth,0.02
Kiyan Anthony,Syracuse,G,Undisclosed,Game Time Decision,Key Starter/Star,0.075
Kalu Anya,Saint Louis,F,Redshirt,Out For Season,Impact Role Player,0
Jaymien Aponte,Rhode Island,G,Undisclosed,Out,Rotational Depth,0.02
Justin Archer,La Salle,F,Shoulder,Game Time Decision,Impact Role Player,0.035
Hashem Asadallah,Georgetown,G,Undisclosed,Out,Rotational Depth,0.02
Jason Asemota,Boston College,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Hayden Assemian,South Carolina,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Tybo Bailey,East Carolina,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Dawson Baker,BYU,G,Knee,Out For Season,Impact Role Player,0
Rich Barron,Providence,F,Concussion,Game Time Decision,Impact Role Player,0.035
Abdi Bashir,Kansas State,G,Foot,Game Time Decision,Rotational Depth,0.01
Anthony Batson,Stanford,G,Undisclosed,Out,Rotational Depth,0.02
Bowyn Beatty,La Salle,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Charles Bediako,Alabama,C,Not Injury Related,Out For Season,Key Starter/Star,0
Justin Begg,Sam Houston,G,Undisclosed,Out For Season,Rotational Depth,0
Matija Belic,Wyoming,F,Ankle,Out,Impact Role Player,0.07
Noah Benny,Sam Houston,G,Undisclosed,Out For Season,Rotational Depth,0
Toni Bilic,Illinois,F,Not Injury Related,Out For Season,Rotational Depth,0
Annor Boateng,Missouri,G,Leg,Out For Season,Impact Role Player,0
Juslin Bodo Bodo,Baylor,C,Arm,Out For Season,Impact Role Player,0
Stanley Borden,Texas-San Antonio,C,Hand,Game Time Decision,Rotational Depth,0.01
Julian Bowie,Boise State,G,Personal,Out For Season,Rotational Depth,0
Kjay Bradley,San Diego,G,Undisclosed,Game Time Decision,Impact Role Player,0.035
Rickey Bradley Jr.,VMI,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Wilhelm Breidenbach,Grand Canyon,F,Ankle,Game Time Decision,Rotational Depth,0.01
Jerome Brewer,La Salle,F,Lower Leg,Game Time Decision,Impact Role Player,0.035
Carlin Briggs,Portland,G,Knee,Game Time Decision,Rotational Depth,0.01
James Brown,North Carolina,F,Foot,Out For Season,Rotational Depth,0
Jameel Brown,Delaware,G,Lower Leg,Out,Impact Role Player,0.07
Xavier Brown,South Florida,G,Undisclosed,Out For Season,Impact Role Player,0
Dorin Buca,Kansas State,C,Undisclosed,Game Time Decision,Rotational Depth,0.01
Bhan Buom,Boise State,F,Undisclosed,Out,Rotational Depth,0.02
Antwan Burnett,Missouri State,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Henry Burt,Nebraska,F,Knee,Out,Rotational Depth,0.02
Markus Burton,Notre Dame,G,Ankle,Game Time Decision,Key Starter/Star,0.075
Emmanuel Callas,San Diego,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Mouhamed Camara,Louisville,F,Redshirt,Out For Season,Rotational Depth,0
Devin Ceaser,Maryland-Baltimore County,G,Undisclosed,Out,Impact Role Player,0.07
Myles Che,UNLV,G,Foot,Out For Season,Impact Role Player,0
Jeremiah Cherry,Sacramento State,F,Leg,Out,Rotational Depth,0.02
Malcolm Chimezie,Boston University,F,Knee,Out,Rotational Depth,0.02
Gai Chol,Mississippi State,C,Knee,Out For Season,Rotational Depth,0
TJ Clark,Mississippi,G,Not Injury Related,Out For Season,Rotational Depth,0
Desmond Claude,Washington,G,Ankle,Out For Season,Key Starter/Star,0
Chase Clemmons,Kennesaw State,G,Undisclosed,Out For Season,Rotational Depth,0
Noah Collier,La Salle,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Zaon Collins,Fresno State,G,Calf,Game Time Decision,Rotational Depth,0.01
Frankie Collins,Vanderbilt,G,Knee,Out For Season,Key Starter/Star,0
Andrew Cook,Eastern Washington,G,Ankle,Out For Season,Impact Role Player,0
Davin Cosby,Kennesaw State,G,Undisclosed,Out For Season,Rotational Depth,0
Simeon Cottle,Kennesaw State,G,Suspension,Out,Key Starter/Star,0.15
Pierre Couisnard,Wichita State,G,Redshirt,Out For Season,Impact Role Player,0
Tanner Cuff,Hawaii,G,Knee,Out For Season,Impact Role Player,0
Brandin Cummings,Pittsburgh,G,Ankle,Out For Season,Rotational Depth,0
Joao Das Chagas,UAB,C,Wrist,Game Time Decision,Rotational Depth,0.01
Blake Davidson,Clemson,F,Redshirt,Out For Season,Rotational Depth,0
Amsal Delalic,DePaul,G,Knee,Out For Season,Impact Role Player,0
Eli DeLaurier,East Carolina,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
Ege Demir,Oregon,C,Shoulder,Out For Season,Rotational Depth,0
